Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,ro,0.2003,24,37,0.0840336134453781,9524,948,10.046413502109704,0.2570438554726763,0.0925206033276318,3.1621149904700023,0.9819,0.5585,0.5244,0.1789,0.4592,0.1536
pcm,sk,0.1584,31,30,0.0369747899159663,10604,948,11.18565400843882,0.4130087201061381,0.0925206033276318,11.999052403471328,0.9791,0.6096,0.6147,0.439,0.5585,0.3296
pcm,bg,0.0175,57,4,0.0033613445378151,11138,948,11.748945147679326,0.2891950325041875,0.0925206033276318,4.518755928482911,0.9705,0.6282,0.5796,0.4601,0.4914,0.4239
pcm,pt,0.2667,12,49,0.1092436974789916,12078,948,12.740506329113924,0.1985895453616555,0.0925206033276318,1.3143152948543155,0.9654,0.5515,0.5704,0.409,0.5354,0.0215
pcm,nl,0.106,42,19,0.1260504201680672,13583,948,14.32805907172996,0.2163749886307094,0.0925206033276318,1.7920324276771111,0.9654,0.5624,0.5769,0.409,0.5281,0.0113
pcm,en,0.5337,1,60,0.6848739495798319,16622,948,17.533755274261605,0.1746279711803919,0.0925206033276318,0.7875667050215235,0.9724,0.5581,0.5725,0.4878,0.5662,0.2497
pcm,it,0.0684,51,10,0.1109243697478991,14167,948,14.94409282700422,0.2090539911907565,0.0925206033276318,1.5864406616712512,0.9687,0.5654,0.572,0.3277,0.5276,0.0466
pcm,ca,0.2631,14,47,0.0932773109243697,16678,948,17.59282700421941,0.1431069684669108,0.0925206033276318,0.2989441345184318,0.9638,0.5903,0.5687,0.427,0.5114,0.013
pcm,hi,0.0338,55,6,0.0008403361344537,16647,948,17.560126582278482,0.072831563624156,0.0925206033276318,0.04528685453781,0.9766,0.5575,0.5715,0.3277,0.5398,0.0871
pcm,pl,0.1294,37,24,0.0361344537815126,17246,948,18.19198312236287,0.4049278834815912,0.0925206033276318,11.401588941281997,0.9724,0.6053,0.5757,0.439,0.5362,0.313
pcm,de,0.0915,47,14,0.0932773109243697,15590,948,16.445147679324894,0.2724193133980275,0.0925206033276318,3.780760668947235,0.9819,0.6138,0.5955,0.4601,0.5421,0.3716
pcm,fro,0.0993,44,17,0.0798319327731092,17678,948,18.647679324894515,0.0937745835963677,0.0925206033276318,0.0001836980277725,0.9705,0.6972,0.6301,0.3277,0.4914,0.3872
pcm,es,0.2583,17,44,0.080672268907563,17680,948,18.649789029535864,0.1474296839146102,0.0925206033276318,0.3522179064567743,0.9687,0.6223,0.5999,0.3881,0.5613,0.0444
pcm,fr,0.3121,6,55,0.1974789915966386,16448,948,17.350210970464136,0.2057620460579268,0.0925206033276318,1.498076099396518,0.9724,0.63,0.5651,0.3333,0.439,0.0599
pcm,fi,0.0935,46,15,0.0394957983193277,18723,948,19.75,0.3189427368077481,0.0925206033276318,5.989090066108308,0.9724,0.6066,0.6111,0.3277,0.6326,0.1397
pcm,grc,0.0974,45,16,0.0008403361344537,17081,948,18.01793248945148,0.1730742274014335,0.0925206033276318,0.758041976917815,0.9791,0.644,0.6066,0.3862,0.5884,0.2908
pcm,no,0.0374,53,8,0.1546218487394958,20045,948,21.14451476793249,0.1846147253241721,0.0925206033276318,0.9908020837435026,0.9724,0.5318,0.5325,0.3333,0.5056,0.2772
pcm,ar,0.1558,32,29,0.0008403361344537,19738,948,20.820675105485236,4.7672168034857886e-06,0.0925206033276318,0.9998969506506828,0.9766,0.7323,0.7098,0.5641,0.6611,0.0679
pcm,la,0.1209,39,22,0.0436974789915966,18400,948,19.40928270042194,0.1715984617000315,0.0925206033276318,0.7305213041056051,1.0,0.7396,0.7058,0.5212,0.6306,0.277
