Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
lati1261,finn1318,1.0,0.554,0.511,0.3729,0.4701,0.1088
lati1261,bulg1262,0.8831,0.5606,0.5559,0.3862,0.5557,0.0429
lati1261,slov1268,0.8718,0.4347,0.4531,0.3862,0.4892,0.0214
lati1261,slov1269,0.8718,0.7062,0.7028,0.5641,0.7127,0.0366
lati1261,roma1327,0.4196,0.5386,0.4969,0.3729,0.4057,0.0437
lati1261,croa1245,0.8919,0.6289,0.5892,0.4407,0.4322,0.021
lati1261,stan1318,1.0,0.5388,0.48,0.3862,0.289,0.1307
lati1261,latv1249,0.8337,0.5492,0.4783,0.427,0.3602,0.0764
lati1261,hebr1245,1.0,0.5062,0.5364,0.427,0.5877,0.0954
lati1261,ukra1253,0.8718,0.4531,0.4239,0.3277,0.4236,0.048
lati1261,indo1316,1.0,0.6215,0.5731,0.3729,0.3374,0.396
lati1261,dani1285,0.8831,0.5453,0.5044,0.3729,0.404,0.0599
lati1261,swed1254,0.8831,0.5876,0.5718,0.3141,0.5463,0.0826
lati1261,mand1415,1.0,0.6002,0.6293,0.5114,0.5982,0.3066
stan1290,czec1258,0.9248,0.5632,0.5153,0.4196,0.4713,0.0403
stan1290,russ1263,0.9078,0.5313,0.5248,0.4196,0.5152,0.1897
stan1290,norw1258,0.9176,0.4979,0.528,0.4477,0.5505,0.0588
stan1290,stan1288,0.4601,0.4358,0.506,0.4565,0.5804,0.0362
stan1290,kore1280,1.0,0.7023,0.617,0.5253,0.4804,0.3381
stan1290,esto1258,0.9638,0.5549,0.5312,0.3776,0.4985,0.0798
stan1290,poli1260,0.9176,0.5398,0.5471,0.3333,0.5239,0.0519
stan1290,dutc1256,0.9386,0.4801,0.4363,0.2817,0.3411,0.0203
stan1290,port1283,0.427,0.4175,0.4084,0.2851,0.3947,0.0339
stan1290,lati1261,0.5533,0.5841,0.5422,0.4161,0.4985,0.0438
stan1290,stan1295,0.9248,0.4718,0.4405,0.2301,0.3886,0.032
stan1290,hind1269,0.9304,0.5914,0.5376,0.2263,0.4618,0.2657
stan1290,stan1289,0.3862,0.4484,0.4435,0.3333,0.4096,0.0284
stan1290,ital1282,0.5295,0.448,0.4512,0.3776,0.4379,0.041
stan1290,stan1293,0.9386,0.5686,0.5589,0.3743,0.4753,0.0246
stan1290,finn1318,1.0,0.6218,0.5294,0.3333,0.3996,0.0952
