Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
telu1262,ital1282,1.0,0.6368,0.5791,0.2736,0.5157,0.264
telu1262,java1254,1.0,0.7639,0.6194,0.427,0.4304,0.1607
telu1262,kaza1248,1.0,0.7218,0.687,0.529,0.6224,0.1251
telu1262,kiny1244,1.0,0.768,0.6328,0.4816,0.5114,0.2254
telu1262,kirg1245,1.0,0.4897,0.4931,0.4034,0.5442,0.1168
telu1262,kurd1259,1.0,0.6767,0.5908,0.3455,0.5743,0.1567
telu1262,laoo1244,1.0,0.7593,0.6676,0.3277,0.5309,0.1122
telu1262,mara1378,1.0,0.497,0.4585,0.3433,0.3556,0.0112
telu1262,malt1254,1.0,0.6554,0.5994,0.2736,0.5629,0.2574
telu1262,nucl1310,1.0,0.5963,0.5265,0.3064,0.4426,0.0688
telu1262,stan1306,1.0,0.7598,0.6551,0.2736,0.5235,0.1185
telu1262,dutc1256,1.0,0.6473,0.5827,0.3455,0.518,0.2854
telu1262,nyan1308,1.0,0.8118,0.6557,0.4054,0.5,0.2388
telu1262,east2652,1.0,0.6137,0.5312,0.3695,0.5075,0.1655
telu1262,panj1256,1.0,0.5287,0.4478,0.2566,0.2687,0.0633
telu1262,poli1260,1.0,0.5915,0.5748,0.1864,0.5379,0.2537
telu1262,port1283,1.0,0.6243,0.5552,0.2566,0.4797,0.31
telu1262,roma1327,1.0,0.6748,0.5823,0.3277,0.5114,0.2344
telu1262,russ1263,1.0,0.624,0.5908,0.3433,0.5801,0.1684
telu1262,shon1251,1.0,0.7461,0.6413,0.427,0.5311,0.2535
telu1262,soma1255,1.0,0.6082,0.5415,0.4565,0.4681,0.1559
telu1262,stan1288,1.0,0.6777,0.6071,0.39,0.5702,0.3025
telu1262,swah1253,1.0,0.7068,0.6228,0.3695,0.5311,0.2088
telu1262,swed1254,1.0,0.6634,0.5878,0.3695,0.4904,0.2644
telu1262,tami1289,0.8831,0.3778,0.3975,0.1864,0.4327,0.0271
telu1262,taji1245,1.0,0.695,0.6424,0.3498,0.6012,0.1089
telu1262,taga1270,1.0,0.6872,0.5959,0.3277,0.4763,0.1839
telu1262,thai1261,1.0,0.7637,0.6321,0.3277,0.4364,0.0966
telu1262,tigr1271,1.0,0.5652,0.5349,0.4034,0.5796,0.17
telu1262,turk1304,1.0,0.4956,0.4753,0.0,0.5099,0.1214
telu1262,nucl1301,1.0,0.5737,0.5285,0.39,0.5461,0.2027
telu1262,ukra1253,1.0,0.6212,0.5596,0.2736,0.5157,0.2359
telu1262,uigh1240,1.0,0.5499,0.533,0.4477,0.5702,0.1228
telu1262,uzbe1247,1.0,0.4633,0.4858,0.3695,0.5727,0.1153
telu1262,viet1252,1.0,0.8046,0.6667,0.3455,0.5158,0.1209
telu1262,xhos1239,1.0,0.7502,0.625,0.3064,0.5319,0.2881
telu1262,yoru1245,1.0,0.832,0.6868,0.4477,0.4798,0.3091
telu1262,zulu1248,1.0,0.7272,0.6245,0.432,0.5309,0.2666
tigr1271,amha1245,0.5273,0.4946,0.4627,0.3931,0.3973,0.0169
tigr1271,stan1318,0.631,0.6414,0.5802,0.359,0.4862,0.0613
tigr1271,nort2697,1.0,0.5005,0.4869,0.4034,0.5287,0.1194
tigr1271,beng1280,1.0,0.5353,0.5271,0.4246,0.5877,0.2131
tigr1271,stan1289,1.0,0.6095,0.5634,0.3548,0.4901,0.1797
tigr1271,cebu1242,1.0,0.6661,0.5963,0.439,0.5195,0.3428
tigr1271,cent1972,1.0,0.7481,0.7945,0.8278,0.8391,0.0963
tigr1271,stan1295,1.0,0.5328,0.5005,0.4246,0.4997,0.1766
tigr1271,west2369,1.0,0.5541,0.5046,0.2421,0.4531,0.091
tigr1271,stan1290,1.0,0.608,0.551,0.4078,0.5,0.1967
tigr1271,haus1257,0.8718,0.626,0.5804,0.4513,0.511,0.1331
tigr1271,hind1269,1.0,0.6021,0.5508,0.33,0.5302,0.1644
tigr1271,hung1274,1.0,0.5934,0.5235,0.3548,0.4488,0.1582
tigr1271,ilok1237,1.0,0.6569,0.5869,0.4034,0.5396,0.3258
tigr1271,indo1316,1.0,0.6602,0.5875,0.439,0.47,0.309
tigr1271,ital1282,1.0,0.579,0.541,0.3064,0.4608,0.1593
tigr1271,java1254,1.0,0.6797,0.6118,0.5114,0.5235,0.3057
tigr1271,kaza1248,1.0,0.7236,0.6944,0.6827,0.6054,0.1572
tigr1271,kiny1244,1.0,0.5912,0.5335,0.554,0.4531,0.0874
tigr1271,kirg1245,1.0,0.4852,0.4775,0.3445,0.5648,0.1785
tigr1271,kurd1259,1.0,0.5209,0.4384,0.1663,0.4096,0.0978
tigr1271,laoo1244,1.0,0.6994,0.6377,0.5114,0.4997,0.2693
tigr1271,mara1378,1.0,0.5925,0.5543,0.359,0.5354,0.1614
tigr1271,malt1254,0.6614,0.5971,0.5292,0.3064,0.4042,0.1348
tigr1271,nucl1310,1.0,0.7074,0.6161,0.4935,0.5236,0.2283
tigr1271,stan1306,1.0,0.6818,0.6047,0.4034,0.47,0.2694
tigr1271,dutc1256,1.0,0.5906,0.5394,0.3789,0.4757,0.2005
tigr1271,nyan1308,1.0,0.642,0.5712,0.4949,0.4697,0.138
tigr1271,east2652,0.9097,0.5437,0.4874,0.4685,0.4273,0.0325
tigr1271,panj1256,1.0,0.5788,0.5658,0.3931,0.5825,0.1638
tigr1271,poli1260,1.0,0.6051,0.5762,0.3548,0.5074,0.1774
tigr1271,port1283,1.0,0.5525,0.5299,0.3931,0.4726,0.2008
tigr1271,roma1327,1.0,0.569,0.4755,0.2468,0.3834,0.1495
